postalCode,City,State,Region,NeighborhoodType,Diversity,Politics,ageTwentyTwoToThirtyFour,ageThirtyFiveToFiftyFour,ageFiftyFiveToSeventyFour,twoByThreeToFourByFiveBed,twoByThreeBed,fourByFiveBed,bestSchool
01460,"Littleton, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,10%,30%,25%,$538k - $817k,"$538,242 ","$816,626 ",Yes
01463,"Pepperell, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,14%,27%,25%,$399k - $593k,"$398,965 ","$593,051 ",
01504,"Blackstone, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,15%,33%,21%,$379k - $492k,"$379,422 ","$491,759 ",
01505,"Boylston, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,10%,32%,24%,$421k - $818k,"$421,244 ","$818,354 ",
01519,"Grafton, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,13%,30%,24%,$436k - $743k,"$436,254 ","$742,673 ",
01527,"Millbury, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,13%,31%,23%,$393k - $511k,"$392,967 ","$510,986 ",
01529,"Millville, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,16%,29%,23%,$344k - $500k,"$344,327 ","$499,652 ",
01532,"Northborough, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,13%,31%,24%,$484k - $733k,"$484,202 ","$732,887 ",
01534,"Northbridge, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,17%,29%,22%,$419k - $589k,"$418,761 ","$589,373 ",
01536,"North Grafton, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,16%,31%,22%,$427k - $734k,"$427,454 ","$733,684 ",
01545,"Shrewsbury, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,14%,29%,23%,$485k - $838k,"$484,757 ","$837,695 ",Yes
01560,"South Grafton, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,14%,33%,16%,$424k - $696k,"$424,267 ","$696,043 ",
01568,"Upton, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,13%,32%,23%,$503k - $740k,"$502,745 ","$739,614 ",
01581,"Westborough, MA",Massachusetts,Northeast,Suburban Yards,Diverse,Liberal,17%,28%,21%,$543k - $917k,"$542,963 ","$917,245 ",Yes
01701,"Framingham, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,14%,28%,27%,$523k - $730k,"$523,274 ","$729,835 ",
01702,"Framingham, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,21%,28%,16%,$421k - $723k,"$421,175 ","$723,196 ",
01719,"Boxborough, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,16%,30%,22%,$436k - $974k,"$436,208 ","$974,434 ",
01720,"Acton, MA",Massachusetts,Northeast,Suburban Yards,Diverse,Liberal,11%,31%,23%,$536k - $930k,"$536,155 ","$930,274 ",
01721,"Ashland, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,15%,29%,25%,$511k - $826k,"$511,487 ","$825,728 ",
01730,"Bedford, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,13%,30%,20%,$779k - $1.17m,"$779,369 ","$1,165,271 ",
01741,"Carlisle, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,9%,25%,33%,$914k - $1.33m,"$913,844 ","$1,333,775 ",
01742,"Concord, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,9%,28%,27%,$801k - $1.68m,"$801,268 ","$1,678,803 ",
01745,"Fayville, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,16%,26%,19%,$534k - $888k,"$533,859 ","$888,181 ",
01746,"Holliston, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,11%,30%,24%,$558k - $813k,"$557,746 ","$813,113 ",
01747,"Hopedale, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,11%,31%,22%,$398k - $625k,"$397,654 ","$625,362 ",
01748,"Hopkinton, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,11%,34%,20%,$638k - $1.02m,"$638,153 ","$1,015,179 ",
01749,"Hudson, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,15%,30%,25%,$450k - $635k,"$450,447 ","$634,715 ",
01752,"Marlborough, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,19%,30%,22%,$427k - $671k,"$427,298 ","$671,084 ",
01754,"Maynard, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,17%,28%,25%,$463k - $641k,"$462,929 ","$640,544 ",
01757,"Milford, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,17%,28%,22%,$426k - $584k,"$425,626 ","$583,744 ",
01760,"Natick, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,16%,28%,23%,$665k - $1.02m,"$665,387 ","$1,021,313 ",
01770,"Sherborn, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,6%,32%,27%,$755k - $1.22m,"$754,516 ","$1,217,707 ",Yes
01772,"Southborough, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,10%,30%,23%,$611k - $1.19m,"$611,486 ","$1,185,490 ",
01773,"Lincoln, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,6%,23%,35%,$788k - $1.75m,"$788,173 ","$1,745,444 ",
01776,"Sudbury, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,6%,30%,25%,$756k - $1.18m,"$756,051 ","$1,177,705 ",Yes
01778,"Wayland, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,9%,29%,24%,$788k - $1.32m,"$788,185 ","$1,320,581 ",Yes
01801,"Woburn, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,19%,28%,21%,$608k - $775k,"$607,955 ","$774,949 ",
01803,"Burlington, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,17%,27%,22%,$688k - $855k,"$687,701 ","$854,726 ",
01810,"Andover, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,10%,31%,23%,$594k - $1.07m,"$594,276 ","$1,071,106 ",Yes
01821,"Billerica, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,18%,29%,23%,$521k - $673k,"$521,214 ","$672,574 ",
01824,"Chelmsford, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,15%,29%,24%,$490k - $740k,"$489,773 ","$739,727 ",
01826,"Dracut, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,16%,28%,23%,$409k - $634k,"$409,062 ","$634,423 ",
01827,"Dunstable, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,10%,32%,24%,$547k - $773k,"$546,752 ","$773,211 ",Yes
01830,"Haverhill, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,18%,27%,22%,$425k - $570k,"$425,233 ","$569,962 ",
01832,"Haverhill, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,19%,27%,21%,$406k - $604k,"$405,887 ","$604,467 ",
01833,"Georgetown, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,12%,30%,26%,$542k - $794k,"$541,839 ","$794,198 ",
01834,"Groveland, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,12%,25%,29%,$539k - $716k,"$538,819 ","$716,361 ",
01835,"Haverhill, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,18%,28%,22%,$409k - $620k,"$408,682 ","$620,106 ",
01840,"Lawrence, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,21%,24%,19%,$222k - $490k,"$221,992 ","$489,706 ",
01841,"Lawrence, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,21%,27%,15%,$328k - $489k,"$328,067 ","$489,068 ",
01843,"Lawrence, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,24%,24%,17%,$402k - $482k,"$402,328 ","$482,070 ",
01844,"Methuen, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,17%,28%,23%,$446k - $595k,"$446,329 ","$594,751 ",
01845,"North Andover, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,14%,27%,22%,$495k - $935k,"$494,711 ","$934,591 ",
01850,"Lowell, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,27%,23%,15%,$322k - $448k,"$322,485 ","$447,613 ",
01851,"Lowell, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,23%,26%,19%,$372k - $486k,"$372,008 ","$485,632 ",
01852,"Lowell, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,20%,27%,22%,$382k - $578k,"$381,835 ","$578,321 ",
01854,"Lowell, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,22%,22%,15%,$366k - $483k,"$366,213 ","$483,344 ",
01862,"North Billerica, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,21%,31%,21%,$526k - $668k,"$526,055 ","$668,086 ",
01863,"North Chelmsford, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,13%,27%,28%,$457k - $648k,"$457,184 ","$648,090 ",
01864,"North Reading, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,12%,32%,25%,$611k - $998k,"$611,499 ","$997,998 ",Yes
01867,"Reading, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,13%,30%,24%,$685k - $973k,"$685,231 ","$973,297 ",
01876,"Tewksbury, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,16%,27%,27%,$507k - $695k,"$506,889 ","$694,816 ",
01879,"Tyngsboro, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,15%,33%,22%,$463k - $660k,"$463,180 ","$660,272 ",
01880,"Wakefield, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Not Very Diverse,Liberal,15%,28%,27%,$654k - $882k,"$654,102 ","$882,092 ",
01886,"Westford, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,11%,33%,21%,$552k - $901k,"$551,844 ","$900,797 ",Yes
01887,"Wilmington, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,19%,25%,24%,$604k - $798k,"$603,866 ","$798,316 ",
01890,"Winchester, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,9%,31%,21%,$930k - $1.78m,"$929,887 ","$1,779,667 ",Yes
01901,"Lynn, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,10%,32%,14%,$447k - $698k,"$447,397 ","$698,358 ",
01902,"Lynn, MA",Massachusetts,Northeast,Urban Apartments / Homes,Diverse,Liberal,22%,25%,17%,$433k - $578k,"$433,496 ","$577,931 ",
01904,"Lynn, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,20%,26%,24%,$514k - $631k,"$513,574 ","$630,928 ",
01905,"Lynn, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,19%,28%,16%,$462k - $557k,"$462,206 ","$556,840 ",
01906,"Saugus, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,16%,27%,27%,$558k - $738k,"$558,216 ","$738,190 ",
01907,"Swampscott, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Not Very Diverse,Liberal,13%,28%,25%,$587k - $1.01m,"$586,559 ","$1,010,116 ",
01908,"Nahant, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Not Very Diverse,Liberal,10%,26%,40%,$741k - $1.19m,"$740,676 ","$1,194,438 ",
01915,"Beverly, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,18%,26%,24%,$580k - $919k,"$579,643 ","$919,036 ",
01921,"Boxford, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,7%,30%,27%,$677k - $1.06m,"$676,654 ","$1,056,977 ",
01923,"Danvers, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,14%,25%,25%,$567k - $792k,"$566,650 ","$791,793 ",
01929,"Essex, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,14%,25%,30%,$655k - $1.05m,"$654,524 ","$1,053,251 ",
01938,"Ipswich, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,11%,26%,29%,$627k - $939k,"$627,266 ","$938,909 ",
01940,"Lynnfield, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,13%,28%,22%,$745k - $1.12m,"$745,407 ","$1,124,202 ",
01944,"Manchester, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,4%,29%,31%,$783k - $1.71m,"$783,371 ","$1,709,990 ",
01945,"Marblehead, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Not Very Diverse,Liberal,6%,27%,31%,$739k - $1.36m,"$739,338 ","$1,359,286 ",
01949,"Middleton, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,19%,25%,24%,$633k - $1.04m,"$632,671 ","$1,038,170 ",
01960,"Peabody, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Not Very Diverse,Liberal,16%,23%,25%,$546k - $728k,"$546,431 ","$727,833 ",
01969,"Rowley, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,11%,31%,26%,$579k - $810k,"$578,829 ","$810,059 ",
01970,"Salem, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,23%,26%,20%,$521k - $701k,"$521,315 ","$700,981 ",
01982,"South Hamilton, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,13%,27%,23%,$615k - $1.19m,"$615,198 ","$1,192,159 ",Yes
01983,"Topsfield, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,8%,24%,27%,$736k - $942k,"$735,513 ","$941,637 ",
01984,"Wenham, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,10%,18%,18%,$656k - $1.11m,"$655,632 ","$1,105,231 ",
02019,"Bellingham, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,18%,29%,23%,$395k - $557k,"$395,114 ","$556,632 ",
02021,"Canton, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,15%,28%,23%,$578k - $966k,"$577,639 ","$965,707 ",
02025,"Cohasset, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,7%,29%,25%,$782k - $1.56m,"$782,065 ","$1,560,482 ",
02026,"Dedham, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,18%,27%,21%,$598k - $963k,"$597,590 ","$962,707 ",
02030,"Dover, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,7%,27%,25%,$985k - $1.76m,"$985,360 ","$1,757,509 ",Yes
02032,"East Walpole, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,11%,33%,22%,$581k - $919k,"$580,878 ","$918,987 ",
02035,"Foxboro, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,17%,26%,24%,$545k - $803k,"$544,635 ","$803,129 ",
02038,"Franklin, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,11%,31%,21%,$480k - $755k,"$480,456 ","$754,829 ",
02043,"Hingham, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,9%,28%,23%,$819k - $1.60m,"$819,064 ","$1,595,467 ",Yes
02045,"Hull, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Not Very Diverse,Liberal,11%,25%,39%,$531k - $794k,"$531,177 ","$794,020 ",
02047,"Humarock, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,0%,40%,44%,$529k - $795k,"$528,592 ","$795,482 ",Yes
02048,"Mansfield, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Moderate,17%,30%,21%,$478k - $781k,"$478,191 ","$780,734 ",
02050,"Marshfield, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,11%,28%,26%,$550k - $833k,"$549,755 ","$832,965 ",Yes
02052,"Medfield, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,9%,29%,23%,$656k - $1.09m,"$656,019 ","$1,091,214 ",Yes
02053,"Medway, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,14%,32%,21%,$471k - $712k,"$471,415 ","$712,119 ",
02054,"Millis, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,13%,26%,29%,$459k - $728k,"$458,875 ","$727,571 ",
02056,"Norfolk, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,13%,32%,25%,$596k - $847k,"$595,727 ","$846,605 ",
02061,"Norwell, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,10%,31%,22%,$689k - $1.18m,"$688,623 ","$1,182,013 ",Yes
02062,"Norwood, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,19%,28%,21%,$576k - $773k,"$575,948 ","$773,167 ",
02066,"Scituate, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,9%,27%,29%,$693k - $1.02m,"$693,147 ","$1,021,653 ",
02067,"Sharon, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,9%,29%,24%,$608k - $956k,"$608,443 ","$956,111 ",Yes
02071,"South Walpole, MA",Massachusetts,Northeast,Suburban Yards,Diverse,Liberal,31%,32%,18%,$555k - $878k,"$555,213 ","$877,539 ",
02072,"Stoughton, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,15%,26%,27%,$457k - $649k,"$457,023 ","$649,282 ",
02081,"Walpole, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,10%,30%,21%,$546k - $897k,"$545,836 ","$897,076 ",
02090,"Westwood, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,10%,28%,22%,$777k - $1.36m,"$776,899 ","$1,356,271 ",Yes
02093,"Wrentham, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,13%,27%,24%,$503k - $829k,"$503,142 ","$828,656 ",
02108,"Boston, MA",Massachusetts,Northeast,Big City Apartments,Somewhat Diverse,Liberal,29%,24%,20%,$2.58m - $6.51m,"$2,579,123 ","$6,505,423 ",
02109,"Boston, MA",Massachusetts,Northeast,Urban Apartments / Homes,Somewhat Diverse,Liberal,48%,20%,19%,$1.48m - $1.77m,"$1,478,005 ","$1,773,581 ",
02110,"Boston, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,16%,20%,36%,$3.23m - $3.65m,"$3,227,432 ","$3,651,342 ",
02111,"Boston, MA",Massachusetts,Northeast,Big City Apartments,Diverse,Liberal,27%,23%,16%,$1.95m - $7.16m,"$1,950,347 ","$7,158,000 ",
02113,"Boston, MA",Massachusetts,Northeast,Big City Apartments,Not Very Diverse,Liberal,58%,17%,12%,$987k - $1.24m,"$987,389 ","$1,239,256 ",
02114,"Boston, MA",Massachusetts,Northeast,Big City Apartments,Somewhat Diverse,Liberal,44%,24%,15%,$1.58m - $4.06m,"$1,576,913 ","$4,063,120 ",
02115,"Boston, MA",Massachusetts,Northeast,Big City Apartments,Diverse,Liberal,25%,12%,7%,$1.85m - $4.64m,"$1,852,347 ","$4,643,420 ",
02116,"Boston, MA",Massachusetts,Northeast,Big City Apartments,Somewhat Diverse,Liberal,30%,22%,24%,$2.43m - $5.60m,"$2,425,700 ","$5,597,230 ",
02118,"Boston, MA",Massachusetts,Northeast,Big City Apartments,Diverse,Liberal,34%,26%,16%,$1.78m - $3.84m,"$1,776,876 ","$3,835,801 ",
02119,"Roxbury, MA",Massachusetts,Northeast,Urban Apartments / Homes,Diverse,Liberal,23%,24%,19%,$566k - $734k,"$565,965 ","$733,806 ",
02120,"Roxbury Crossing, MA",Massachusetts,Northeast,Big City Apartments,Diverse,Liberal,35%,14%,11%,$600k - $1.20m,"$600,068 ","$1,199,798 ",
02121,"Dorchester, MA",Massachusetts,Northeast,Urban Apartments / Homes,Diverse,Liberal,22%,23%,17%,$488k - $663k,"$487,630 ","$663,147 ",
02122,"Dorchester, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,26%,28%,18%,$605k - $760k,"$605,057 ","$759,780 ",
02124,"Dorchester Center, MA",Massachusetts,Northeast,Urban Apartments / Homes,Diverse,Liberal,23%,25%,18%,$577k - $738k,"$576,562 ","$738,000 ",
02125,"Dorchester, MA",Massachusetts,Northeast,Urban Apartments / Homes,Diverse,Liberal,30%,24%,17%,$625k - $834k,"$625,368 ","$834,173 ",
02126,"Mattapan, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,20%,28%,22%,$530k - $649k,"$529,524 ","$649,479 ",
