TaxType,State,Deduction,RangeMin,RangeMax,RangeTax,LocalTax,Tax
,,,,,,07722,0.00%
,,,,,,07723,0.00%
,,,,,,07724,0.00%
,,,,,,07726,0.00%
,,,,,,07727,0.00%
,,,,,,07728,0.00%
,,,,,,07730,0.00%
,,,,,,07732,0.00%
,,,,,,07733,0.00%
,,,,,,07734,0.00%
,,,,,,07735,0.00%
,,,,,,07737,0.00%
,,,,,,07738,0.00%
,,,,,,07739,0.00%
,,,,,,07740,0.00%
,,,,,,07746,0.00%
,,,,,,07747,0.00%
,,,,,,07748,0.00%
,,,,,,07750,0.00%
,,,,,,07751,0.00%
,,,,,,07753,0.00%
,,,,,,07755,0.00%
,,,,,,07756,0.00%
,,,,,,07757,0.00%
,,,,,,07758,0.00%
,,,,,,07760,0.00%
,,,,,,07762,0.00%
,,,,,,07764,0.00%
,,,,,,07801,0.00%
,,,,,,07803,0.00%
,,,,,,07828,0.00%
,,,,,,07834,0.00%
,,,,,,07836,0.00%
,,,,,,07843,0.00%
,,,,,,07847,0.00%
,,,,,,07849,0.00%
,,,,,,07850,0.00%
,,,,,,07852,0.00%
,,,,,,07856,0.00%
,,,,,,07857,0.00%
,,,,,,07866,0.00%
,,,,,,07869,0.00%
,,,,,,07871,0.00%
,,,,,,07874,0.00%
,,,,,,07876,0.00%
,,,,,,07878,0.00%
,,,,,,07885,0.00%
,,,,,,07901,0.00%
,,,,,,07920,0.00%
,,,,,,07921,0.00%
,,,,,,07922,0.00%
,,,,,,07924,0.00%
,,,,,,07926,0.00%
,,,,,,07927,0.00%
,,,,,,07928,0.00%
,,,,,,07930,0.00%
,,,,,,07931,0.00%
,,,,,,07932,0.00%
,,,,,,07933,0.00%
,,,,,,07934,0.00%
,,,,,,07935,0.00%
,,,,,,07936,0.00%
,,,,,,07940,0.00%
,,,,,,07945,0.00%
,,,,,,07946,0.00%
,,,,,,07950,0.00%
,,,,,,07960,0.00%
,,,,,,07974,0.00%
,,,,,,07976,0.00%
,,,,,,07977,0.00%
,,,,,,07979,0.00%
,,,,,,07980,0.00%
,,,,,,07981,0.00%
,,,,,,08002,0.00%
,,,,,,08003,0.00%
,,,,,,08004,0.00%
,,,,,,08007,0.00%
,,,,,,08009,0.00%
,,,,,,08010,0.00%
,,,,,,08012,0.00%
,,,,,,08014,0.00%
,,,,,,08016,0.00%
,,,,,,08021,0.00%
,,,,,,08026,0.00%
,,,,,,08027,0.00%
,,,,,,08029,0.00%
,,,,,,08030,0.00%
,,,,,,08031,0.00%
,,,,,,08033,0.00%
,,,,,,08034,0.00%
,,,,,,08035,0.00%
,,,,,,08036,0.00%
,,,,,,08043,0.00%
,,,,,,08045,0.00%
,,,,,,08046,0.00%
,,,,,,08048,0.00%
,,,,,,08049,0.00%
,,,,,,08052,0.00%
,,,,,,08053,0.00%
,,,,,,08054,0.00%
,,,,,,08055,0.00%
,,,,,,08057,0.00%
,,,,,,08059,0.00%
,,,,,,08060,0.00%
,,,,,,08061,0.00%
,,,,,,08063,0.00%
,,,,,,08065,0.00%
,,,,,,08066,0.00%
,,,,,,08067,0.00%
,,,,,,08070,0.00%
,,,,,,08075,0.00%
,,,,,,08077,0.00%
,,,,,,08078,0.00%
,,,,,,08081,0.00%
,,,,,,08083,0.00%
,,,,,,08084,0.00%
,,,,,,08086,0.00%
,,,,,,08089,0.00%
,,,,,,08090,0.00%
,,,,,,08091,0.00%
,,,,,,08093,0.00%
,,,,,,08096,0.00%
,,,,,,08097,0.00%
,,,,,,08102,0.00%
,,,,,,08103,0.00%
,,,,,,08104,0.00%
,,,,,,08105,0.00%
,,,,,,08106,0.00%
,,,,,,08107,0.00%
,,,,,,08108,0.00%
,,,,,,08109,0.00%
,,,,,,08110,0.00%
,,,,,,08502,0.00%
,,,,,,08505,0.00%
,,,,,,08512,0.00%
,,,,,,08520,0.00%
,,,,,,08525,0.00%
,,,,,,08528,0.00%
,,,,,,08536,0.00%
,,,,,,08540,0.00%
,,,,,,08542,0.00%
,,,,,,08553,0.00%
,,,,,,08558,0.00%
,,,,,,08561,0.00%
,,,,,,08609,0.00%
,,,,,,08610,0.00%
,,,,,,08611,0.00%
,,,,,,08618,0.00%
,,,,,,08620,0.00%
,,,,,,08628,0.00%
,,,,,,08629,0.00%
,,,,,,08638,0.00%
,,,,,,08648,0.00%
,,,,,,08801,0.00%
,,,,,,08805,0.00%
,,,,,,08807,0.00%
,,,,,,08810,0.00%
,,,,,,08812,0.00%
,,,,,,08816,0.00%
,,,,,,08817,0.00%
,,,,,,08820,0.00%
,,,,,,08822,0.00%
,,,,,,08823,0.00%
,,,,,,08824,0.00%
,,,,,,08828,0.00%
,,,,,,08830,0.00%
,,,,,,08831,0.00%
,,,,,,08832,0.00%
,,,,,,08833,0.00%
,,,,,,08835,0.00%
,,,,,,08836,0.00%
,,,,,,08837,0.00%
,,,,,,08840,0.00%
,,,,,,08844,0.00%
,,,,,,08846,0.00%
,,,,,,08850,0.00%
,,,,,,08852,0.00%
,,,,,,08853,0.00%
,,,,,,08854,0.00%
,,,,,,08857,0.00%
,,,,,,08859,0.00%
,,,,,,08861,0.00%
,,,,,,08863,0.00%
,,,,,,08869,0.00%
,,,,,,08872,0.00%
,,,,,,08873,0.00%
,,,,,,08876,0.00%
,,,,,,08879,0.00%
,,,,,,08880,0.00%
,,,,,,08882,0.00%
,,,,,,08884,0.00%
,,,,,,08887,0.00%
,,,,,,08889,0.00%
,,,,,,08901,0.00%
,,,,,,08902,0.00%
,,,,,,08904,0.00%
,,,,,,10001,3.70%
,,,,,,10002,3.70%
,,,,,,10003,3.70%
,,,,,,10004,3.70%
,,,,,,10005,3.70%
,,,,,,10006,3.70%
,,,,,,10007,3.70%
,,,,,,10009,3.70%
,,,,,,10010,3.70%
,,,,,,10011,3.70%
,,,,,,10012,3.70%
,,,,,,10013,3.70%
,,,,,,10014,3.70%
,,,,,,10016,3.70%
,,,,,,10017,3.70%
,,,,,,10018,3.70%
,,,,,,10019,3.70%
,,,,,,10021,3.70%
,,,,,,10022,3.70%
,,,,,,10023,3.70%
,,,,,,10024,3.70%
,,,,,,10025,3.70%
,,,,,,10026,3.70%
,,,,,,10027,3.70%
,,,,,,10028,3.70%
,,,,,,10029,3.70%
,,,,,,10030,3.70%
,,,,,,10031,3.70%
,,,,,,10032,3.70%
,,,,,,10033,3.70%
,,,,,,10034,3.70%
,,,,,,10035,3.70%
,,,,,,10036,3.70%
,,,,,,10037,3.70%
,,,,,,10038,3.70%
,,,,,,10065,3.70%
,,,,,,10069,3.70%
,,,,,,10075,3.70%
,,,,,,10128,3.70%
,,,,,,10280,3.70%
,,,,,,10282,3.70%
,,,,,,10301,3.70%
,,,,,,10302,3.70%
,,,,,,10303,3.70%
,,,,,,10304,3.70%
,,,,,,10305,3.70%
,,,,,,10306,3.70%
,,,,,,10307,3.70%
,,,,,,10308,3.70%
,,,,,,10309,3.70%
,,,,,,10310,3.70%
,,,,,,10312,3.70%
,,,,,,10314,3.70%
,,,,,,10451,3.70%
,,,,,,10452,3.70%
,,,,,,10453,3.70%
,,,,,,10454,3.70%
,,,,,,10455,3.70%
,,,,,,10456,3.70%
,,,,,,10457,3.70%
,,,,,,10458,3.70%
,,,,,,10459,3.70%
,,,,,,10460,3.70%
,,,,,,10461,3.70%
,,,,,,10462,3.70%
,,,,,,10463,3.70%
,,,,,,10464,3.70%
,,,,,,10465,3.70%
,,,,,,10466,3.70%
,,,,,,10467,3.70%
,,,,,,10468,3.70%
,,,,,,10469,3.70%
,,,,,,10470,3.70%
,,,,,,10471,3.70%
,,,,,,10472,3.70%
,,,,,,10473,3.70%
,,,,,,10474,3.70%
,,,,,,10475,3.70%
,,,,,,10501,0.00%
,,,,,,10502,0.00%
,,,,,,10504,0.00%
,,,,,,10506,0.00%
,,,,,,10507,0.00%
,,,,,,10510,0.00%
,,,,,,10514,0.00%
,,,,,,10518,0.00%
,,,,,,10520,0.00%
,,,,,,10522,0.00%
,,,,,,10523,0.00%
,,,,,,10526,0.00%
,,,,,,10527,0.00%
,,,,,,10528,0.00%
,,,,,,10530,0.00%
,,,,,,10532,0.00%
,,,,,,10533,0.00%
,,,,,,10536,0.00%
,,,,,,10538,0.00%
,,,,,,10543,0.00%
,,,,,,10546,0.00%
,,,,,,10549,0.00%
,,,,,,10550,0.00%
,,,,,,10552,0.00%
,,,,,,10553,0.00%
,,,,,,10560,0.00%
,,,,,,10562,0.00%
,,,,,,10570,0.00%
,,,,,,10573,0.00%
,,,,,,10576,0.00%
,,,,,,10577,0.00%
,,,,,,10578,0.00%
,,,,,,10580,0.00%
,,,,,,10583,0.00%
,,,,,,10589,0.00%
,,,,,,10590,0.00%
,,,,,,10591,0.00%
,,,,,,10597,0.00%
,,,,,,10598,0.00%
,,,,,,10601,0.00%
,,,,,,10603,0.00%
,,,,,,10604,0.00%
,,,,,,10605,0.00%
,,,,,,10606,0.00%
,,,,,,10607,0.00%
,,,,,,10701,0.00%
,,,,,,10703,0.00%
,,,,,,10704,0.00%
,,,,,,10705,0.00%
,,,,,,10706,0.00%
,,,,,,10707,0.00%
,,,,,,10708,0.00%
,,,,,,10709,0.00%
,,,,,,10710,0.00%
,,,,,,10801,0.00%
,,,,,,10803,0.00%
,,,,,,10804,0.00%
,,,,,,10805,0.00%
,,,,,,10901,0.00%
,,,,,,10913,0.00%
,,,,,,10920,0.00%
,,,,,,10923,0.00%
,,,,,,10927,0.00%
,,,,,,10931,0.00%
,,,,,,10952,0.00%
,,,,,,10954,0.00%
,,,,,,10956,0.00%
,,,,,,10960,0.00%
,,,,,,10962,0.00%
,,,,,,10964,0.00%
,,,,,,10965,0.00%
,,,,,,10968,0.00%
,,,,,,10970,0.00%
,,,,,,10974,0.00%
,,,,,,10976,0.00%
,,,,,,10977,0.00%
,,,,,,10980,0.00%
,,,,,,10983,0.00%
,,,,,,10984,0.00%
,,,,,,10989,0.00%
,,,,,,10993,0.00%
,,,,,,10994,0.00%
,,,,,,11001,0.00%
,,,,,,11003,0.00%
,,,,,,11004,3.70%
,,,,,,11010,0.00%
,,,,,,11020,0.00%
,,,,,,11021,0.00%
,,,,,,11023,0.00%
,,,,,,11024,0.00%
,,,,,,11030,0.00%
,,,,,,11040,0.00%
,,,,,,11050,0.00%
,,,,,,11096,0.00%
,,,,,,11101,3.70%
,,,,,,11102,3.70%
,,,,,,11103,3.70%
,,,,,,11104,3.70%
,,,,,,11105,3.70%
,,,,,,11106,3.70%
,,,,,,11201,3.70%
,,,,,,11203,3.70%
,,,,,,11204,3.70%
,,,,,,11205,3.70%
,,,,,,11206,3.70%
,,,,,,11207,3.70%
,,,,,,11208,3.70%
,,,,,,11209,3.70%
,,,,,,11210,3.70%
,,,,,,11211,3.70%
,,,,,,11212,3.70%
,,,,,,11213,3.70%
,,,,,,11214,3.70%
,,,,,,11215,3.70%
,,,,,,11216,3.70%
,,,,,,11217,3.70%
,,,,,,11218,3.70%
,,,,,,11219,3.70%
,,,,,,11220,3.70%
,,,,,,11221,3.70%
,,,,,,11222,3.70%
,,,,,,11223,3.70%
,,,,,,11224,3.70%
,,,,,,11225,3.70%
,,,,,,11226,3.70%
,,,,,,11228,3.70%
,,,,,,11229,3.70%
,,,,,,11230,3.70%
,,,,,,11231,3.70%
,,,,,,11232,3.70%
,,,,,,11233,3.70%
,,,,,,11234,3.70%
,,,,,,11235,3.70%
,,,,,,11236,3.70%
,,,,,,11237,3.70%
,,,,,,11238,3.70%
,,,,,,11354,3.70%
,,,,,,11355,3.70%
,,,,,,11356,3.70%
,,,,,,11357,3.70%
,,,,,,11358,3.70%
,,,,,,11360,3.70%
,,,,,,11361,3.70%
,,,,,,11362,3.70%
,,,,,,11363,3.70%
,,,,,,11364,3.70%
,,,,,,11365,3.70%
,,,,,,11366,3.70%
,,,,,,11367,3.70%
,,,,,,11368,3.70%
,,,,,,11369,3.70%
,,,,,,11370,3.70%
,,,,,,11372,3.70%
,,,,,,11373,3.70%
,,,,,,11374,3.70%
,,,,,,11375,3.70%
,,,,,,11377,3.70%
,,,,,,11378,3.70%
,,,,,,11379,3.70%
,,,,,,11385,3.70%
,,,,,,11411,3.70%
,,,,,,11412,3.70%
,,,,,,11413,3.70%
,,,,,,11414,3.70%
,,,,,,11415,3.70%
,,,,,,11416,3.70%
,,,,,,11417,3.70%
,,,,,,11418,3.70%
,,,,,,11419,3.70%
,,,,,,11420,3.70%
,,,,,,11421,3.70%
,,,,,,11422,3.70%
,,,,,,11423,3.70%
,,,,,,11426,3.70%
,,,,,,11427,3.70%
,,,,,,11428,3.70%
,,,,,,11429,3.70%
,,,,,,11430,3.70%
,,,,,,11432,3.70%
,,,,,,11433,3.70%
,,,,,,11434,3.70%
,,,,,,11435,3.70%
,,,,,,11436,3.70%
,,,,,,11501,0.00%
,,,,,,11507,0.00%
,,,,,,11509,0.00%
,,,,,,11510,0.00%
,,,,,,11514,0.00%
,,,,,,11516,0.00%
,,,,,,11518,0.00%
,,,,,,11520,0.00%
,,,,,,11530,0.00%
,,,,,,11542,0.00%
,,,,,,11545,0.00%
,,,,,,11547,0.00%
,,,,,,11548,0.00%
,,,,,,11550,0.00%
,,,,,,11552,0.00%
,,,,,,11553,0.00%
,,,,,,11554,0.00%
,,,,,,11557,0.00%
,,,,,,11558,0.00%
,,,,,,11559,0.00%
,,,,,,11560,0.00%
,,,,,,11561,0.00%
,,,,,,11563,0.00%
,,,,,,11565,0.00%
,,,,,,11566,0.00%
,,,,,,11568,0.00%
,,,,,,11569,0.00%
,,,,,,11570,0.00%
,,,,,,11572,0.00%
,,,,,,11575,0.00%
,,,,,,11576,0.00%
,,,,,,11577,0.00%
,,,,,,11579,0.00%
,,,,,,11580,0.00%
,,,,,,11581,0.00%
,,,,,,11590,0.00%
,,,,,,11596,0.00%
,,,,,,11598,0.00%
,,,,,,11691,3.70%
,,,,,,11692,3.70%
,,,,,,11693,3.70%
,,,,,,11694,3.70%
,,,,,,11701,0.00%
,,,,,,11702,0.00%
,,,,,,11703,0.00%
,,,,,,11704,0.00%
,,,,,,11705,0.00%
,,,,,,11706,0.00%
,,,,,,11709,0.00%
,,,,,,11710,0.00%
,,,,,,11714,0.00%
,,,,,,11716,0.00%
,,,,,,11717,0.00%
,,,,,,11718,0.00%
,,,,,,11720,0.00%
,,,,,,11721,0.00%
,,,,,,11722,0.00%
,,,,,,11724,0.00%
,,,,,,11725,0.00%
,,,,,,11726,0.00%
,,,,,,11729,0.00%
,,,,,,11730,0.00%
,,,,,,11731,0.00%
,,,,,,11732,0.00%
,,,,,,11733,0.00%
,,,,,,11735,0.00%
,,,,,,11739,0.00%
,,,,,,11740,0.00%
,,,,,,11741,0.00%
,,,,,,11743,0.00%
,,,,,,11746,0.00%
,,,,,,11747,0.00%
,,,,,,11749,0.00%
,,,,,,11751,0.00%
,,,,,,11752,0.00%
,,,,,,11753,0.00%
,,,,,,11754,0.00%
,,,,,,11755,0.00%
,,,,,,11756,0.00%
,,,,,,11757,0.00%
,,,,,,11758,0.00%
,,,,,,11762,0.00%
,,,,,,11765,0.00%
,,,,,,11767,0.00%
,,,,,,11768,0.00%
,,,,,,11769,0.00%
,,,,,,11771,0.00%
,,,,,,11779,0.00%
,,,,,,11780,0.00%
,,,,,,11782,0.00%
,,,,,,11783,0.00%
,,,,,,11787,0.00%
,,,,,,11788,0.00%
,,,,,,11790,0.00%
,,,,,,11791,0.00%
,,,,,,11793,0.00%
,,,,,,11795,0.00%
,,,,,,11796,0.00%
,,,,,,11797,0.00%
,,,,,,11798,0.00%
,,,,,,11801,0.00%
,,,,,,11803,0.00%
,,,,,,11804,0.00%
,,,,,,12020,0.00%
,,,,,,12047,0.00%
,,,,,,12054,0.00%
,,,,,,12065,0.00%
,,,,,,12077,0.00%
,,,,,,12084,0.00%
,,,,,,12085,0.00%
,,,,,,12110,0.00%
,,,,,,12144,0.00%
,,,,,,12148,0.00%
,,,,,,12159,0.00%
,,,,,,12170,0.00%
,,,,,,12180,0.00%
,,,,,,12182,0.00%
,,,,,,12183,0.00%
,,,,,,12186,0.00%
,,,,,,12188,0.00%
,,,,,,12189,0.00%
,,,,,,12198,0.00%
,,,,,,12202,0.00%
,,,,,,12203,0.00%
,,,,,,12204,0.00%
,,,,,,12205,0.00%
,,,,,,12206,0.00%
,,,,,,12208,0.00%
,,,,,,12209,0.00%
,,,,,,12210,0.00%
,,,,,,12211,0.00%
,,,,,,12303,0.00%
,,,,,,12304,0.00%
,,,,,,12305,0.00%
,,,,,,12307,0.00%
,,,,,,12308,0.00%
,,,,,,12309,0.00%
,,,,,,12831,0.00%
,,,,,,12833,0.00%
,,,,,,12859,0.00%
,,,,,,12863,0.00%
,,,,,,12866,0.00%
,,,,,,12871,0.00%
,,,,,,12884,0.00%
,,,,,,13027,0.00%
,,,,,,13030,0.00%
,,,,,,13031,0.00%
,,,,,,13037,0.00%
,,,,,,13039,0.00%
,,,,,,13041,0.00%
,,,,,,13057,0.00%
,,,,,,13060,0.00%
,,,,,,13066,0.00%
,,,,,,13078,0.00%
,,,,,,13080,0.00%
,,,,,,13082,0.00%
,,,,,,13088,0.00%
,,,,,,13090,0.00%
,,,,,,13104,0.00%
,,,,,,13108,0.00%
,,,,,,13112,0.00%
,,,,,,13116,0.00%
,,,,,,13120,0.00%
,,,,,,13164,0.00%
,,,,,,13202,0.00%
,,,,,,13203,0.00%
,,,,,,13204,0.00%
,,,,,,13205,0.00%
,,,,,,13206,0.00%
,,,,,,13207,0.00%
,,,,,,13208,0.00%
,,,,,,13209,0.00%
,,,,,,13210,0.00%
,,,,,,13211,0.00%
,,,,,,13212,0.00%
,,,,,,13214,0.00%
,,,,,,13215,0.00%
,,,,,,13219,0.00%
,,,,,,13224,0.00%
,,,,,,14026,0.00%
,,,,,,14032,0.00%
,,,,,,14043,0.00%
,,,,,,14051,0.00%
,,,,,,14068,0.00%
,,,,,,14072,0.00%
,,,,,,14086,0.00%
,,,,,,14120,0.00%
,,,,,,14150,0.00%
,,,,,,14201,0.00%
,,,,,,14202,0.00%
,,,,,,14204,0.00%
,,,,,,14206,0.00%
,,,,,,14207,0.00%
,,,,,,14208,0.00%
,,,,,,14209,0.00%
,,,,,,14210,0.00%
,,,,,,14211,0.00%
,,,,,,14212,0.00%
,,,,,,14213,0.00%
,,,,,,14214,0.00%
,,,,,,14215,0.00%
,,,,,,14217,0.00%
,,,,,,14221,0.00%
,,,,,,14222,0.00%
,,,,,,14223,0.00%
,,,,,,14225,0.00%
,,,,,,14226,0.00%
,,,,,,14227,0.00%
,,,,,,14228,0.00%
,,,,,,14304,0.00%
,,,,,,15003,0.00%
,,,,,,15005,0.00%
,,,,,,15006,0.00%
,,,,,,15007,0.00%
,,,,,,15015,0.00%
,,,,,,15017,0.00%
,,,,,,15020,0.00%
,,,,,,15024,0.00%
,,,,,,15025,1.00%
,,,,,,15027,0.00%
,,,,,,15028,0.00%
,,,,,,15031,0.00%
,,,,,,15034,0.00%
,,,,,,15035,0.00%
,,,,,,15042,0.00%
,,,,,,15044,0.00%
,,,,,,15045,0.00%
,,,,,,15046,0.00%
,,,,,,15047,0.00%
,,,,,,15049,0.00%
,,,,,,15051,0.00%
,,,,,,15055,0.00%
,,,,,,15056,0.00%
,,,,,,15057,0.00%
,,,,,,15060,0.00%
,,,,,,15061,0.00%
,,,,,,15064,0.00%
,,,,,,15071,0.00%
,,,,,,15074,0.00%
,,,,,,15081,0.00%
,,,,,,15082,0.00%
,,,,,,15086,0.00%
,,,,,,15088,0.00%
,,,,,,15090,0.00%
,,,,,,15101,0.00%
,,,,,,15102,0.00%
,,,,,,15104,0.00%
,,,,,,15106,0.00%
,,,,,,15108,0.00%
,,,,,,15110,1.15%
,,,,,,15112,0.00%
,,,,,,15116,0.00%
,,,,,,15120,0.00%
,,,,,,15122,0.00%
,,,,,,15126,0.00%
,,,,,,15129,0.00%
,,,,,,15131,0.00%
,,,,,,15132,0.00%
,,,,,,15133,0.00%
,,,,,,15135,0.00%
,,,,,,15136,0.00%
,,,,,,15137,0.00%
,,,,,,15139,0.00%
,,,,,,15140,0.00%
,,,,,,15142,0.00%
,,,,,,15143,0.00%
,,,,,,15144,0.00%
,,,,,,15145,0.00%
,,,,,,15146,1.00%
,,,,,,15147,0.00%
,,,,,,15148,0.00%
,,,,,,15201,1.00%
,,,,,,15202,1.00%
,,,,,,15203,1.00%
,,,,,,15204,1.00%
,,,,,,15205,1.00%
,,,,,,15206,1.00%
,,,,,,15207,1.00%
,,,,,,15208,1.00%
,,,,,,15209,1.00%
,,,,,,15210,1.00%
,,,,,,15211,1.00%
,,,,,,15212,1.00%
,,,,,,15213,1.00%
,,,,,,15214,1.00%
,,,,,,15215,1.00%
,,,,,,15216,1.00%
,,,,,,15217,1.00%
,,,,,,15218,1.00%
,,,,,,15219,1.00%
,,,,,,15220,1.00%
,,,,,,15221,1.00%
,,,,,,15222,1.00%
,,,,,,15223,1.00%
,,,,,,15224,1.00%
,,,,,,15226,1.00%
,,,,,,15227,1.00%
,,,,,,15228,1.00%
,,,,,,15229,1.00%
,,,,,,15232,1.00%
,,,,,,15233,1.00%
,,,,,,15234,1.00%
,,,,,,15235,1.00%
,,,,,,15236,1.00%
,,,,,,15237,1.00%
,,,,,,15238,1.00%
,,,,,,15239,1.00%
,,,,,,15241,1.00%
,,,,,,15243,1.00%
,,,,,,15317,0.00%
,,,,,,15321,0.00%
,,,,,,15332,0.00%
,,,,,,15350,0.00%
,,,,,,15363,0.00%
,,,,,,15367,0.00%
,,,,,,16033,0.00%
,,,,,,16046,0.00%
,,,,,,16059,0.00%
,,,,,,16063,0.00%
,,,,,,16066,0.00%
,,,,,,17011,0.00%
,,,,,,17018,0.00%
,,,,,,17025,0.00%
,,,,,,17028,0.00%
,,,,,,17033,0.00%
,,,,,,17034,0.00%
,,,,,,17036,0.00%
,,,,,,17043,0.00%
,,,,,,17053,0.00%
,,,,,,17057,0.00%
,,,,,,17065,0.00%
,,,,,,17070,0.00%
,,,,,,17093,0.00%
,,,,,,17101,0.00%
,,,,,,17102,0.00%
,,,,,,17103,0.00%
,,,,,,17104,0.00%
,,,,,,17109,0.00%
,,,,,,17110,0.00%
,,,,,,17111,0.00%
,,,,,,17112,0.00%
,,,,,,17113,0.00%
,,,,,,17501,0.00%
,,,,,,17505,0.00%
,,,,,,17508,0.00%
,,,,,,17512,0.00%
,,,,,,17516,0.00%
,,,,,,17520,0.00%
,,,,,,17522,0.00%
,,,,,,17529,0.00%
,,,,,,17538,0.00%
,,,,,,17540,0.00%
,,,,,,17543,0.00%
,,,,,,17545,0.00%
,,,,,,17551,0.00%
,,,,,,17554,0.00%
,,,,,,17572,0.00%
,,,,,,17576,0.00%
,,,,,,17579,0.00%
,,,,,,17582,0.00%
,,,,,,17584,0.00%
,,,,,,17601,0.00%
,,,,,,17602,0.00%
,,,,,,17603,0.00%
,,,,,,18074,0.00%
,,,,,,18826,0.00%
,,,,,,18901,0.00%
,,,,,,18914,0.00%
,,,,,,18915,0.00%
,,,,,,18917,0.00%
,,,,,,18923,0.00%
,,,,,,18925,0.00%
,,,,,,18929,0.00%
,,,,,,18932,0.00%
,,,,,,18940,0.00%
,,,,,,18944,0.00%
,,,,,,18954,0.00%
,,,,,,18960,0.00%
,,,,,,18962,0.00%
,,,,,,18964,0.00%
,,,,,,18966,0.00%
,,,,,,18969,0.00%
,,,,,,18974,0.00%
,,,,,,18976,0.00%
,,,,,,18980,0.00%
,,,,,,19001,0.00%
,,,,,,19002,0.00%
,,,,,,19003,0.00%
,,,,,,19004,0.00%
,,,,,,19006,0.00%
,,,,,,19008,0.00%
,,,,,,19009,0.00%
,,,,,,19010,0.00%
,,,,,,19012,0.00%
,,,,,,19013,0.00%
,,,,,,19014,0.00%
,,,,,,19015,0.00%
,,,,,,19017,0.00%
,,,,,,19018,0.00%
,,,,,,19020,1.00%
,,,,,,19021,0.00%
,,,,,,19022,0.00%
,,,,,,19023,1.00%
,,,,,,19025,0.00%
,,,,,,19026,0.00%
,,,,,,19027,0.00%
,,,,,,19029,0.00%
,,,,,,19031,0.00%
,,,,,,19032,1.00%
,,,,,,19033,0.00%
,,,,,,19034,0.00%
,,,,,,19035,0.00%
,,,,,,19036,0.00%
,,,,,,19038,0.00%
,,,,,,19040,0.00%
,,,,,,19041,0.00%
,,,,,,19043,0.00%
,,,,,,19044,0.00%
,,,,,,19046,0.00%
,,,,,,19047,0.00%
,,,,,,19050,0.00%
,,,,,,19053,0.00%
,,,,,,19060,0.00%
,,,,,,19061,1.00%
,,,,,,19063,1.00%
,,,,,,19064,0.00%
,,,,,,19066,0.00%
,,,,,,19067,0.00%
,,,,,,19070,0.00%
,,,,,,19072,0.00%
,,,,,,19073,0.00%
,,,,,,19074,0.00%
,,,,,,19075,0.00%
,,,,,,19076,0.00%
,,,,,,19078,0.00%
,,,,,,19079,1.00%
,,,,,,19081,0.00%
,,,,,,19082,0.00%
,,,,,,19083,0.00%
,,,,,,19085,0.00%
,,,,,,19086,0.00%
,,,,,,19087,0.00%
,,,,,,19090,0.00%
,,,,,,19094,0.00%
,,,,,,19095,0.00%
,,,,,,19096,0.00%
,,,,,,19102,3.88%
,,,,,,19103,3.88%
,,,,,,19104,3.88%
,,,,,,19106,3.88%
,,,,,,19107,3.88%
,,,,,,19111,3.88%
,,,,,,19114,3.88%
,,,,,,19115,3.88%
,,,,,,19116,3.88%
,,,,,,19118,3.88%
,,,,,,19119,3.88%
,,,,,,19120,3.88%
,,,,,,19121,3.88%
,,,,,,19122,3.88%
,,,,,,19123,3.88%
,,,,,,19124,3.88%
,,,,,,19125,3.88%
,,,,,,19126,3.88%
,,,,,,19127,3.88%
,,,,,,19128,3.88%
,,,,,,19129,3.88%
,,,,,,19130,3.88%
,,,,,,19131,3.88%
,,,,,,19132,3.88%
,,,,,,19133,3.88%
,,,,,,19134,3.88%
,,,,,,19135,3.88%
,,,,,,19136,3.88%
,,,,,,19137,3.88%
,,,,,,19138,3.88%
,,,,,,19139,3.88%
,,,,,,19140,3.88%
,,,,,,19141,3.88%
,,,,,,19142,3.88%
,,,,,,19143,3.88%
,,,,,,19144,3.88%
,,,,,,19145,3.88%
,,,,,,19146,3.88%
,,,,,,19147,3.88%
,,,,,,19148,3.88%
,,,,,,19149,3.88%
,,,,,,19150,3.88%
,,,,,,19151,3.88%
,,,,,,19152,3.88%
,,,,,,19153,3.88%
,,,,,,19154,3.88%
,,,,,,19301,0.00%
,,,,,,19312,0.00%
,,,,,,19317,0.00%
,,,,,,19319,0.00%
,,,,,,19333,0.00%
,,,,,,19335,0.00%
,,,,,,19341,0.00%
,,,,,,19342,0.00%
,,,,,,19343,0.00%
,,,,,,19348,0.00%
,,,,,,19350,0.00%
,,,,,,19355,1.00%
,,,,,,19372,0.00%
,,,,,,19373,0.00%
,,,,,,19380,0.75%
,,,,,,19382,0.75%
,,,,,,19401,0.00%
,,,,,,19403,0.00%
,,,,,,19405,1.00%
,,,,,,19406,0.00%
,,,,,,19422,0.00%
,,,,,,19425,0.00%
,,,,,,19426,0.00%
,,,,,,19428,0.00%
,,,,,,19435,0.00%
,,,,,,19437,0.00%
,,,,,,19438,0.00%
,,,,,,19440,0.00%
,,,,,,19444,0.00%
,,,,,,19446,0.00%
,,,,,,19453,0.00%
,,,,,,19454,0.00%
,,,,,,19456,0.00%
,,,,,,19460,0.00%
,,,,,,19462,0.00%
,,,,,,19464,0.00%
,,,,,,19465,0.00%
,,,,,,19468,0.00%
,,,,,,19472,0.00%
,,,,,,19473,0.00%
,,,,,,19474,0.75%
,,,,,,19475,0.00%
,,,,,,19477,0.00%
,,,,,,19492,0.00%
,,,,,,19525,0.00%
,,,,,,19701,0.00%
,,,,,,19702,0.00%
,,,,,,19703,0.00%
